mensagem,sentiment_manual
1 gol e 2 chutes do Kane é o que quero,2
2x1 real,1
Kkkk,1
só jogador preguiçoso nessa Alemanha kkk,1
kkkkkkkkk,1
Barcelona maior da Espanha aaaah 15 Champions fodaseeeee,1
Ninguém quer ele no Vasco,1
comentarista tá louco mano KKKKKKKKKKKKKKKKKKKKKKKK,1
eu tô samuel,1
Juizao n ta afim de apitar não,1
Um chute do kane ,1
"O time pedindo esmola para pagar uma arena que o próprio ladrao deu, é muito cômico esse mundo que a gente vive, e outra atacante andando de lambo roxa ",0
1x1,1
gol,2
Foz do iguaçu aqui kkkk,1
Mauzar em casa eu já dei um palpite mais o jogo vai ser três a um pro Bayer,1
esse jogo é 2 X 2 empate,1
tem uma odd +8 cervejas no primeiro tampo,1
gol meu pal,2
Gol do foresy,2
rivais adoram ficar com o nosso PAL na boca kkkkkkkkkkk,1
Vincent Kompany oficializou o FUTEBOL CHATO no Bayern de Munique,1
eu botei mais de 3.5 gols nesse jogo apostei 200 reais,2
@lucas Braga: sabe muito,1
oh time ruim,0
kkkkk,1
Sera que a spezia ganha?,1
mafia,1
Um olho aqui e outro no jogo do atlético de madrid ,1
2.5 sai nunca,1
Henry tchan,1
kanne chorando essas horas,1
EU QUERO É JOGÃOOO,1
ACABOU O GÁS DO NEVERKUSEN,1
Barcelona,1
agr,1
só enzo votando na Nubank kakakaka,1
já era sem Harry kane já era,1
O,1
Vamos St Pauli ,2
eu acho bayen levksusen melhor que muniq hoje time montado '-',2
no clássico esse timer faz gol a rodo Ágora preciso nada,2
city tomou empate,1
gol do Brhiginton,2
saiu gol agora do Arsenal,2
cantos vamos,2
0/0,1
aauuuuuuu,1
"Ambas marca aí fml, cravei ",1
perdi uma pós 43 por conta deles.,1
o delicia gol do monaco,2
 ATÉ MINHA AVÓ DE 70 ANOS CHUTA MAIS FORTE KKKKKKKKK,1
nao vai ser o ambas cartao,1
Mafia,1
wtt caze inventa cada uma,1
8 x 1 borussia vai masacrar o hoffenheim,1
ataca,1
Apostei na virada do Borussia e Al Ittihad aehoo,1
Haaland vai entrar no segundo tempo,1
"vamo St Pauli, se é pra fuder o bilhete vamos",2
Preciso de um canto ,1
EU DISSE QUE ATALANTA VIRAVA kkkkkkkkkkk,1
Bola não tava em jogo,1
Jogaço,1
É só falar,1
Bora casa,2
Gol ,2
so preciso de um cartaozinho ,1
Até agora to pensando nassa falha do Kim,1
3 a 1 eu acho que fica esse jogo,1
"TODO CHUTE NO GOL NEUER LEVA, JA PASSOU DA HORA DE METER O PÉ E IR PRA ARÁBIA",2
Mais um gol do Byern,2
ambas vem família?,1
Que,1
1x1 Milan não valeu,1
43?,1
gol nenhum,2
Vamos ligar para os bombeiros qui o jogo ta pegando fogo,2
meu deussss,1
aqui é raposa ferroz,1
caze tv bom demais família caze a r,1
GOOOOOOOOLLLLLL PO#######4,1
não tem como rir dessa comemoração kkkkkkkk,1
Cibelly diz que faz as,1
Chama a virada de 5 a 2,1
Fluminense vai punir esse dortmund,1
poha borussia,1
top caze ,2
vai sair gol e o gol vai ser gol contra !!,2
mais de 1.50,1
tem que ser na zicada mesmo kskksksksks,1
bora Muller!,2
meio das pernas,1
babigol ,2
papo de virada agr,1
hj o asa de Arapiraca ganha kkk,1
penalti perdido,1
Bayer campeão. ,1
corinthiannsss campeão da sula e da copa do Brasil,1
@Daniel Roque o Palmeiras tem copinha sim kkkkk,1
Fenebech nd,1
red,1
esse jogo tá bem melhor que do psg ,2
haha,1
"+0.5 ht, ambas marcam + 5 cantos pro Mainz",1
"+ 0,5 Gols no HT",2
mafiaaa,1
botar aquele projeto de técnico pra assumir né,1
ISSO É UMA VERGONHA UM TIME DESSE PORTE GANHAR POR UM GOL DE PÊNALTI ,2
lens já tá pegando o gooool dele kkkk,1
ANTIS VER A TORCIDA DO TIMÃO NA RUA VIRA MOCINHA ,1
 Reage Leipzig ,1
ainda tá 2 - 1 Leipzig tá perdendo ainda,1
botei o Leipzig casa vey só falta ele pra 720 real vamos Leipzig,2
se ela bola cai no peé do wirtz é gg,1
Bayern forever number one,1
ESSE ERA DEFENSÁVEL KKKKKKK,1
sané pipoqueiro,1
MANO KKKKKKKKKKKKKKK,1
Aprende negão,1
BORA QUERO E GOL,2
vai vira s pcr,1
city foi fd,1
leverkussem tomou empate na cara demais essa mafia,1
abas equipe marcar,1
É STUTTGART PORRA ,1
Quanto tá jogo da ju e ?,1
golll,2
VAMOS VIRAR MEU BAYERN MUNCHEEEEN ,2
booooa,1
Empate fácil mn kkkk,1
v,1
51 é pinga,1
vamoooooooooooooo,2
shaka,1
"quer que saia gol rápido??? aposta 100 zão em menos de 4,5 com 15 segundos sai um gol",2
que furar entra pro bayern ganhar no primeiro tempo ,1
eita azar da mzr kkkkkkkkkkk,1
ÚLTIMA CHAMADA!! Metz na COPA DA FRANÇA PAGANDO BEM… aproveitem a live e me agradeça ,1
tô entendendo nada da voz desse comentarista,1
VAMO TIME DO VASCO,2
gol de quem porra,2
vamo virar bayernnnn,2
penal,1
vai te fd alemanha,1
messi só bati colocado,1
84 gol do bayern leverkusen,2
@Pamella ta querendo dms,1
terraço grill é o melhor de Teresina,2
Borrusia Dortmund vai vira,1
gol da casa,2
olha esse time jogando pelo empate mdss,1
É complicado ,1
"se o Felipe Luis estivesse aqui lendo seu comentário, ia achar muito ofensivo e ia por mais um volante kkkkkkk",1
gol,2
QUEM VAI ME DEVOLVER MEUS DOIS MIL??? TV CAZÉ VAI ME FAZER O PIX?,1
goleirao defendeu,2
KKKK VASCU ANÃO DA COLINA,1
tomara que perca lixos,0
Vai Corinthians,1
MEC,1
como erra esse gol,2
tottenham 3 finalizações no 1 tempo kkkkkk,1
superbet,1
2 a 1 no do arsenal,1
vai corinthians,1
uuuuuuuuuuhhhhh,1
vcs não concordam?,1
só Red tnc,1
nnnn,1
vai toma mais,1
se o bayer nao ganhar do bayer o bayer empata,1
100 x 0 leverkusen,1
vm Harry kane,1
apostei no Bayer será que leva essa???,1
gol,2
hj tem gol de whitz,2
"pqp, consegui meus 5 cantos pro Bayer,  obrigado bayer",0
que cacete de gol,2
eu jogo na h2bet muito boa tem mercado seguro de gol,2
vamos vira laipizer,2
VAMO INTER,2
2.5 ainda vem,1
AAAAAAAA,1
Cazé TV melhor do Brasil Ibaiti Paraná ligado na Cazé ,2
O JOGO É 4 HORAS,1
Sufoco danadoooo,1
VAMOOOO,2
esse cristenseen é aquele famoso é?,2
Siga a CazéTV no instagram -> https://www.instagram.com/cazetv,1
apostei ambas aqui,1
"kane pipoqueiro, chega na reta final da temporada some",1
por que meu nom,1
Eu preciso de só mas um escanteio ,1
máfia fudeu tudo,1
"Meus dias de folga, resumido em Cazetv ...",1
filo da pura,1
here go MBAPPEA come to bayern,1
quem colocas um eu denuncio,1
Ia tirar o pé como?,1
arena corinthians lota mais em!,1
COMO ta amassando a juve,1
bora borussiaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2
peidou,1
faz o simples krlh,1
gol do Liverpool,2
"INVENTA NÃO MANO, FAZ O FÁCIL ",1
caralho que gol perdido,2
os caras são ruim na finalização pqp kkkkkkkk,0
Gnabry entrou pra atropelar hoje viu,1
"opa, gol do milan é bom pra mim hein",2
BONIFACE>>>CR7,1
Jogão juliane,1
Harry KENALTY,1
"Odd 2,20 pro bochum vencer o jogo, estranho",1
nem é de agora,1
ser expulso só agora,1
gol,2
VAMOOOOOOOOOOOOOOOOOOOO,2
"desde 2020 sem perder, só tavam esperando eu apostar kkkkkkkkk",1
10 reais viram 56 nesse jogo com as superodds da betano,1
gool de placa,1
@Henrique vinicius ele esmo,1
red em 2.5,1
Será que Lens empata?,1
ACABARAM COM O BORUSSIA DEPOIS QUE MANDARAM ELES EMBORA,2
Penalti perdido kkkk mds,1
ester,1
gg,1
que juiz maldito cara !,1
neuerrrr ,1
Cheguei agora quero saber se é o reserva tbm do Borussia,1
Nunca critiquei ,1
se o ladrão não anular,1
"1,5",1
Jogo so tem falta carai,1
o borrusia malditoooooooo,1
Wirtz insano,1
poxa so mais 1 gol,2
Bayer vai perder hoje só pra comemorar o titulo com kene em campo no proximo jogo,1
"slc, time patético. faz o gol logo",2
Aff,1
Esse 1.5 é mais certo do que nunca agora kkk,1
toma trivela,1
acabaaaaaaaa,1
credo,1
goleiro filho de uma egua,2
ssotaque chato,1
kane desgraça da 2 chute no gol,2
Pênalti ,1
vamos BVB porra ,2
Borussia vence HT,1
jogão selok,1
Feitoooooooooooooooooo,1
city empatando e levando presao,1
vergonhosokkkkkkkkkkkkkkkkkkkkk,1
da pra fazer mais um,1
OS CARA INSISTE EM APOSTAR NO ARSENAL E NO CHELSEA RED FUTEBOL CLUBE KKKKKKKKKKKKKKKKKKKKKKKKKKKKJJKKKMKKKK,1
Siga a CazéTV no instagram -> https://www.instagram.com/cazetv,1
já pode até acabar esse jogo,1
Campeão,1
vai bagre de Munique,1
1,1
São Paulo tá bem,1
Vão fazer lavi do jogo do city,1
bet nacional n é boa NN?,2
Gol do Adeyemi,2
2.5,1
arruma um médico se tratar,1
5 escanteio,1
"Falo ""Entre as pernas"" ",1
A DO CENI EM 2005 FOI NO ÂNGULO,1
Nunca será gabriel pec,1
tá falando água com todo respeito,1
juiz esqueceu os cartão no vestiario,1
City 3x0,1
vai sai 2.5 acima vai abrir o jogo depois desse gol,2
Confio na virada do leverkusen,1
Os gols nos jogos foram de mc Kevin ,2
s,1
QUE TIME RIDICULO,1
"Os caras tem o uniforme do Bahia, por q não vai pra frente",1
gol do real,2
odd de 3 pá eles fazer gol primeiro tempo tá paga kakakak,2
O QUE TU QUER TA MOLE @Isaque ,1
é o pacto,1
INTER ,1
vaiiiiii baynr,1
"-1,5 primeiro tempo ",1
bem impedido,1
desisto família,1
Sporting vai meter o coro no boru,1
kkkkkkkkkkkkkkk,1
"bora Bayern, não quero você acabado com meu bilhete ",2
como cai esses cara,1
Siga a CazéTV no instagram -> https://bit.ly/InstagramCazeTV,1
vai Corinthians ,1
Raummmmm,1
1 gol do leverkusen ,2
roubaram ,1
Mds que ruim,0
jogador de pelada,1
gol do wob contra ataque,2
que estádio lindo,1
não tava impedido não,1
"5x2 bayer :gols da partida 3x kane, 2x munsiala . anotem",2
É Green porr@,1
sane é menos 1,1
caramba agora a Iza e gostos@ bati uma pra ela,1
bora tou no empate ou l04,2
Eliane iludida o Liverpool não perde 10+ partida,1
golllllll,2
vai ficar 0x0 saporra,1
Nem pra falhar e sair gol essa desgraça presta,2
2 fin no gol dp werder,2
Corinthians campeão,1
"confusao agora, vai anular e da penalti",1
"ENTRA AÍ NO CANAL DA CAZÉTV, PO https://bit.ly/WhatsAppCazeTV",1
"entrei para o Leverkusen fazer o próximo gol, boa?",2
da Paraíba pb,1
vai anular,1
KRAKOVIA,1
e só colocar abacate Hudson,1
Barça ganhou rpzd,1
"HT não é uma boa, Mainz é adversário duro",2
"se tivesse perguntado o endrick,quem pra entrar,já teria saído o gol do Bob Charlton certeza",2
city levou segundo,1
Quem foi no 1.5..SÓ LAMENTO,1
kkkkkkkkkkk,1
stp 1 X 3 bvb,1
Red de verdade cara,1
Volta Réus e Hummels,1
br meu time vamos,2
SE FOSSE O GARRO COBRANDO ERA GOL ,2
ROUBADO SLC,1
Quem aposta no girona,1
viciados,1
palmeiras,1
kkkkkkkk a defesa ta passando mal que isso dortmund,1
Omar marmoush é raiz,1
ta baixo ainda,1
o cara me mandou pra bem longe e eu nao sei ,1
gol,2
Fica Tite,1
Atlético MG pai das mariada BBB,1
0a0,1
Faz o Pix ,1
11:30,1
Futebol é bom demais,1
SÓ PRECISO DE MAIS UM GOL DO MILAN,2
Td morto  ,1
5 escanteio até o momento ,1
"1,5 gols tranquiloo",2
ambos marcam,1
"Debruyne vai pro bahia, CR7 vai vir aposentar no sport",1
VSFD 2.5 JA ERA,1
torcedores do são Paulo só por causa do Lucas Moura ,1
esse zagueiro é uma piada,1
O COMENTARISTS É ALEMÃO GALERA!!!,1
roubado não entra,1
GOLLLLLL,2
greennn,1
vai vira,1
Boooooaaaa,1
esse jogo e na alemanha ,1
e o mainz,1
kane,1
eu vi o kane ganhar um titulo mdssssssss,1
quando vem do próprio companheiro não é pênalti,1
longe da muralha um gatinho,1
falta,1
Juiz deu 3 minutos confundiu com 30 kkkkk,1
"é bom mesmo , apostei na virada",1
Tomar no rabo,1
Cruzeiro maior de minas,1
vem ambas vemmm,1
musiala não tá escalado,1
quero escanteio,1
FOMINHA,1
dia de sábado mafia e grande,1
pqp que time ruim mds,0
respeitem o melhor ponta do mundo,2
vamooooooos ,2
Schick é muito mais jogador que Boniface. Com todo respeito.,1
"oxi, aqui apareceu pênalti",1
"Richard, eu vi, eu era o camelo",1
não é possível,1
Golaço do Saka,2
MLS TÁ MAIS COMPETITIVA QUE A LIGUE1,1
saiu,1
ingresa,1
10 anos cem vencer,1
AGORA NÃO SAI MAIS GOL,2
gol arsenal,2
Se ele chegou a tocar na bola era defensável sim,1
chora Leverkusen,1
"aqui em pequin já tá ,4 a 2 pro Borussia",1
campo grande ms bora Dortmund,2
paqueta ta só por um amarelo,1
0 chute ao gol,2
Jaja o Bayer acorda ,1
vamos Bayern ,2
vai erra,1
OUTRO ESCANTEIO AEE,1
real Madrid maior do mundo Vinícius júnior bola de ouro ,1
vamoooo bayernnn,2
ambos marcam graças a Deus,1
chama o Dudu,1
Galo campeão com gol do deyverson ,2
q prr é essa,1
hoje Aston Villa ganha.,1
"Sabrina, kkkk entt tá",1
Burro,1
sane,1
1 x 2 hoffenhaim,1
9.5 escanteios ,1
Acaba pelo amor de deus,2
"Bora Borussia Dortmund 0,5 ",2
teu ku,1
handcap -1 bayer odd esmagada,1
frieza,1
3x1 city,1
bvb bora crlh,2
VAI CORINTHIANS,1
"Se o Bayern empatar, já é suficiente pra se campeão?",1
kkkkkkkk caralho,1
Eita ,1
gol RB 1 a 1,2
bora Bayer,2
bonifece joga melhor q o Yuri bragre,2
Lyon tá perdendo 3a1,1
yamal me lembra muito nuno Moreira,1
O desgraçados do Dortmund levou um gol acabou com minha aposta,2
gol,2
0x1 rb ,1
goleiro fi da desgraça,2
ATE OS GRINGO SABE QUE AQUI TEM PIRÂMIDE,1
city é o pior time,0
Apostei no real madrid bora né real ,2
bora heindehen meu timeeee,2
sané bagre,0
como foi o jogo do BVB,1
Bayern 6-0 Bochum,1
esse openda é ridículo de ruim,0
eu tô torcendo para o Bayern de Munique time aí é ruim,0
@ LUIZ SANTLS simm mn confia ,1
ex. É o pior inimigo da camarada,0
apostei no Wolfsburg vamos,2
KKKKKKKKKKKKKKKKKKKKKK,1
coloc no jogo os melores pqpp,0
vm prr,1
"contrata um zagueiro pelo amor de Deus, o Kim não dá mais",2
Borussia kkkkkkk,1
o sane vai embora fraco,2
bayern o melhor time de se ver jogando.,2
Obrigado Musiala por garantir minha aposta seu gostoso,1
se loco num compensa,1
FILIPE LUIZ NÃO VAI,1
"vão por mim, mais tarde ganha Barcelona, lazio, Porto... podem ir nos 3 sem medo",1
SALVEM O MEU BILHETE,1
perdeu pqp,0
PPQP QUE GOLAÇOOOOOOOOOOOO,2
COMPLICOUUU,1
vamo Bayern,2
bagrecane,0
"Dica: Não apostem mais no Leverkusen, virou um time normal",1
nunca vi um jogo pra dar dor de barriga igual esse ,1
Borussia ainda vai levar o empate no final,1
Leverkusen time de 1 temporada só ,1
bora porraaaaa,2
Jhon Terry na da falta não dá cartão que juiz ruim,0
vai da zebra,1
@Rodrigo Porks incrível kkkkkkk,1
Pavlobagre,0
VASCO! ,1
over 1.5 ht odd 2.05 e nego apostando em cantos é muito bagre,0
"tem como driblar nn, bragantino tá jogando o fino da bola",1
BONILIXO,0
ODD 11 PARA O BOCHUN!!!1,1
QUE GOLAÇO MEU DEUSSS,2
áudio tá ruim,0
pqp,0
Borrusia pipoqueiro ,0
esse zagueiro coreano é horroroso,0
linda ela em,1
ladrao,0
bagre demais slk,0
VAMOOOOO KANEEE MELHOR MUNDO,2
ruim ou esquema de aposta?,0
Estressante esse time do leverkusen ,1
vamo bayer  ,2
esse chat daqui é uma bosta qualquer coisa te restrita kkkk,0
se Loko q cara ruim KKK,0
pqp,0
Vamoooooooooi,2
Os cara n consegue nem bater um lateral mano pqp ,0
gol do arsenal,2
ambos marcam + vitória do Bayern,1
tem que colocar o CHICO MOEDAS PRA NARRAR ESSES JOGOS KKKK,1
agora so o lipzing empatar,1
Pqp,0
Yan Couto fraco,0
confio no 2.5,1
q time ruim veiiii,0
Kkkkkk vamoooo,2
3 x 4 Leipzig no segundo tempo,1
acho q o companheiro vacilou na escalaçao de hj n tinha nesecidade de deicha o kane no banco i nem o alfohso davis,1
Que falta faz Mats Hummels nesse time do Borussia,1
KANE COM MEDO DA MINHA BOLA,1
da prar ver claramente que ele olhou pra onde ia chutarr para o golerio pegar,2
jogos do Brasileirão >>>> Bundesliga,1
pra cima Borussia,1
vamos real Madrid,2
Zagueiro fraco kkk,0
1x2!!!,1
VAMOOOOOOOOOOO BAYERRRRRRRRRR ,2
os narradores falando que o frimpong tá ruim o os passes dos caras para ele ksksksk,0
que bagre,0
Boa Arthut kkkkkkkkkkk,2
vamo caralho é o borussia poha,2
a o cara aí camisa 9 matador ,1
um dos piores jogos ja vistos na humanidade,0
boraaaa harryk,2
"Meuss Deus o que acontecce com real Madrid, n consegue ganhar do Barça man",1
Time da casa,1
Vai Corinthians ,1
jogo bom ,1
o chute que o cara erra,1
"Borussia tô de boa, apostei Borussia ou empate ",2
#VaiCorinthians a todos!,1
Mds,1
Falha do Yan Couto ou mérito do atacante?,1
SANE BAGRE,0
UBAGRECANO,0
time sem elenco é foda,1
RED POR ESCANTEIO FALTAVA UM PQP,0
GOOOOLLL ,1
menos de 2,1
Xabi Alonso e doido acreditar em Adli de Loko q cara ruim,0
leipzig volta a jogar bola hoje,1
"folha, falar do ryerson pela fase ok, mas ele foi(é) um dos melhores laterais direitos do mundo. provavelmente perdeu só para o carvajal na temporada passada. não dá para comparar ele com o Yan couto.",2
MDS SEUS BAGRE DA DESGRAM,0
Que aprende wirtz o que kkk wirtz é o craque desse time,2
bora dortmund krl,2
+2.5 +vitória do Bayner,1
pqp,0
pqp,0
CHUPA XABI ALONSO,1
nouer ja fez duas defesas?,1
"vai corinthians, flamengo vai pra pqp",0
só a zika,1
Não foi falta no goleiro???,2
VAI MEU BAYERN - Xique-Xiqie (BA),1
vamos rb e juve,2
Frango,0
BAGREEE,0
bora Kane,2
vam9oo,1
Meu Bayer Leverkusen dando uma surra nesse fraco time do Company alarga boné,0
"mesmo sem angulo o cara mandou na trave, olise e mto diferente",1
o Bayer se joga pro ataque e deixa ngm na zaga,1
vamo Antony,2
quando vai ter jogo porra dês de que entrei só tão fazendo substituição,1
Vamoooooi,2
Bayer time de bosta mesmo,0
GOAT,1
bagre kkkk,0
mds que cara ruim,0
CAPA TOYOTA N E MUNDIAL,1
ALGUÉM SABE ONDE DÁ PRA ASSISTIR O JOGO DO BAYERN DE MUNIQUE?,1
kkkkkkkkkkkkkkkkkkkkkk pior que tô bolando ainda,0
cruzeiro é ruim,0
Vamosssss,2
pqp,0
odeio esse guerreiro,0
Kane só voltará a ser o mesmo quando arriscar os chutes de fora da área igual no Tottenham. Para quem viu acompanha esse cara por 11 anos sabe que ele na finalização já foi melhor ou arriscou mais.,2
Bremen e ruim demais,0
Vamooo,2
musiala fodendo a aposta de meio mundo,1
que time horroroso kkkkkk,0
vamo Dortmund,2
problema do goleirão é q tão chutando mto forte nele,2
o bixo ainda repete a mentira pqp,0
vamoooooooos salvo nesse Green,2
esse centroavante do borussia é triste de ruim esse cara tem a cara de pedreiro vai fazer uma obra,0
não seria melhor traduzir tudo depois? do jeito que tá eu não ouço nem o kompany e o Luis. ,2
odeio torcer pro dorttmund,0
BAGRE SIMONS,0
openda ruim de mais,0
KANE PIPOQUEIRO,0
fa ou hater,1
das isto Here Bayern München,1
pior que fui no Atlético mg sinto que podem surpreender mesmo o time jogando mal,0
Força Borussia Dortmund,1
"Borussia ta proibido de dominar a bola? ninguém domina, deixam a bola passar toda hora e perdem toda hora vei",1
"time imundo, pqp ",0
sane horroroso,0
DAQUI TORCENDO PARA MAIS UMA VITÓRIA DO BRAGANTINO ALEMÃO PRA CIMA BULLS PARABÉNS PARA A TRANSMISSÃO,1
sane ta parecendo o van dijk,1
golaço pqp,2
gol do Cano ?,2
Essa saída de bola do borrrusia tá foda goleirão tá querendo senta na batata ,2
ferme Bremen X rb bagre,0
frango,0
Psg salvou,1
bagre ,0
Horroroso ,0
VAMOOOOOOO,2
G ZUISSSSSSSSSSS,1
GBAGRE,0
Que cara ruim ikkkkkkkkkkkkkkkkkkkk,0
vamoooo,2
"Borussia foi 7 na Bundesliga passada, e chegou na final da Champions",1
vamooooo stutgart,2
PQP COMO ESSE TIME TA EM 5 LUGAR DA BUNDESLIGA,0
Esse time do Leverkusen é muito bem treinado,1
Por onde anda Schalke 04?,1
"bora bayer, slv sítio do mato Ba",2
porra,1
"+0,5 casa boraaa logo",2
Monchengladbach tá ai a passeio,1
PQP INACREDITÁVEL FUTEBOL CLUBEEE,0
NAO VAI DA AMBAS TAMBEM ,1
kkkkkkkkk RB Bagre foi fd,0
bom dia a TDS vamos de mais um grande jogo,2
vamooooooo,2
vamo botafogo,2
apostei que o primeiro escanteio ia ser do time de fr,1
Eu só paro de apostar quando eu não tenho um centavo no bolso,1
GOOOOOOOLLLL,1
bagre,0
FLAMENGO 5 X 0 LIVERPOOL E 6 X 0 REAL MADRID VEM TOMANDO,1
bagrelé,0
QUE MALUCO RUIM jESUS,0
VAMOS ORAR PELO ATLÉTICO MADRID TROPA,2
"bayern Só fez goleadar time fraco, hoje tirou a prova",2
outro jogo do bairro coloquei menos de 4.50 aí ele fez 5 agora não fãs um mafia do caralho,1
kd a wirtz alonso pqp,0
vai corinthians ,1
vamoooooooooo,2
tinha como pegar claro que o goleiro iria esperar que ele ia chutar essa bola moderfuck,2
Vamoooooo,2
PASSA BOLA CALANGOO,1
borussia é pior q o santos,0
MORCEGO SINCERO NÃO SABE DE NADA,1
Futebol italiano e inglês é complicado apostar ,1
a bola desviou animal,1
Não quer sair ambas cara pqp ,0
união Berlin primeira divisão Hertha Berlin segunda divisão meu Schalke 04 ,1
empate,1
VASCO,1
Green Lyon,1
marcação não existe pra esse time do bayer,1
bora Leverkusen,2
que nada Garro jogou mais,1
VAI BAYERN!,1
vocês podiam trasmitir jogo do Flamengo na cazé tv,1
"SE O LEVERKUSEN EMPATAR ALGUM JOGO OU PERDER, O BAYERN JÁ É CAMPEÃO",1
sai bagre entra bagre,0
goooooil 2 x 1 vamoooo,2
"os cara chuta fraco, pqp viu",0
quando o Dortmund vai jogar o campeonato alemão? ,1
vamos bvb,2
ORRIVE,1
Bayer Leverkusen,1
Pqp so zebra hj que isso,0
Bicho ruim,0
pqp,0
porque aparece o video nao esta disponivel,1
e o inacreditavel bagreface futebol clube,0
"muito feio Jogo assim, time só na retranca",1
transmite do Arsenal ,1
vai Corinthians.Corinthians vai amassar o Palmeiras,1
VAMOOOOOO,2
vamo virar krlh acorda pro jogo,2
VAMOS MEU BAYERN MUCHEN ,2
"jogo ruin, igual framengo jogando",1
Issoooooooo vamoooooooo,2
cara incrível a ruindade desses caras,1
kkkkkkkkkkkkkkkkkkkkkkkkk bagre demais,0
jogo bom,1
Esse gitens é ruim demais ,0
SÓ BAGRE JOGANDO,0
"só cara ruim, ta louco",0
"isso não é mafia, é o time que é ruim mesmo, Time pequeno que faz uma temporada histórica, igual o Leicister fez na Premier Ligue",0
vamoooooo,2
etikitike,1
BVB time ruim nem pra empatar presta,0
BAYERN 5X2,1
VOU DORMIR COM ESSE JOGO,1
PALMEIRAS O TIME MAIS INVEJADOOO,1
ganhei 100 mil,1
Que frango,0
"MAIORES TIMES DO BRASIL: São Paulo, flamengo, cruzeiro é internacional",1
pqp,0
0x2,1
KKKKKKKKKKKKKKKK VAI SE LASCAR PRA LÁ ,1
pqp,0
frango,0
Pqp,0
Milan tá arranjando nada pqp,0
VEM VIRADA,1
"saudades do Bayer antigamente,, esse time é muito morno",1
ladraoooooooo,0
hj é green irresponsáveis,1
só bagreeeeee aí são ruim,0
vmoooooooooooo,1
vamo corinthians,2
que coisa bizarra essa interceptação do goleiro,2
pênalti roubado entra sim,1
"muller não faz nenhuma jogada plástica, mas é inteligente demais, sabe ver onde a bola vai estar e também colocá-la onde precisa. crack.",1
joguei fora ou empate,1
o time de marta ontem meteu 6,1
"vai desceer nai, vai nadar kkkkkkkkkkkkkkk vai desceer nai, vai nadar kkkkkkkkkkkkkkk vai desceer nai, vai nadar kkkkkkkkkkkkkkk vai desceer nai, vai nadar kkkkkkkkkkkkkkk rachei nadadores de balnearo",1
VAI PRA IGREJA HARRY KANEEEE,1
pqp kkkkkkkkkk,0
juventu milan e roma joga o pior futebol que até desanima Assistir,0
bora Borussia,2
TACHAU GAYS,1
vamo leverkusen crl,2
fazia tempo q não assista um jogo de time europeu tão ruim assim,0
"qual é o problema desses tiozão que fica gritando gol? oq vcs querem tá mole, ninguém cai mais nisso",2
GOOOOOOOOLLLLLLLLLLLLLLLLLLLLLLL,1
quem leva esse?,1
mannooooooooo falta so esse time do borusia,1
Gittens melhor do time,2
é impressionante como o Borussia Dortmund caiu de rendimento ultimamente,1
CR7 é maior e melhor que o Messi,2
Futebol sem intensidade,1
penalt claro,1
"Rony Rústico muito melhor que esse bagre do Malen, pai amado",2
45x45 placar final,1
